recorded_at,temperature,feels_like,humidity,wind_speed,wind_direction,wind_gust,pressure,precipitation,visibility,uv_index,dew_point,heat_index,wind_chill,cloud_cover,solar_radiation,weather_condition,weather_description
2025-01-01T00:00,25.5,27.7,84,5.75,11,10.0,1012.5,0.0,5,,22.5,25.5,25.5,100,0.0,Cloudy,Overcast
2025-01-01T01:00,25.3,27.1,83,6.083333333333333,5,10.805555555555555,1011.8,0.0,5,,22.2,25.3,25.3,100,0.0,Cloudy,Overcast
2025-01-01T02:00,25.0,26.5,83,6.472222222222222,4,11.61111111111111,1011.1,0.0,5,,21.9,25.0,25.0,86,0.0,Cloudy,Overcast
2025-01-01T03:00,24.8,26.1,83,6.527777777777778,5,12.194444444444443,1010.4,0.0,5,,21.7,24.8,24.8,98,0.0,Cloudy,Overcast
2025-01-01T04:00,24.6,25.8,84,6.666666666666666,5,12.11111111111111,1010.3,0.0,12.45,,21.6,24.6,24.6,51,0.0,Partly Cloudy,Partly cloudy
2025-01-01T05:00,24.4,25.7,84,6.388888888888888,6,12.11111111111111,1010.7,0.0,5,,21.5,24.4,24.4,99,0.0,Cloudy,Overcast
2025-01-01T06:00,24.6,26.0,83,6.194444444444445,0,11.888888888888888,1011.7,0.0,12.85,,21.5,24.6,24.6,43,0.0,Partly Cloudy,Mainly clear
2025-01-01T07:00,24.7,26.1,82,6.055555555555555,358,11.194444444444443,1012.5,0.0,13.3,,21.5,24.7,24.7,34,45.0,Partly Cloudy,Mainly clear
2025-01-01T08:00,25.3,26.7,80,6.194444444444445,358,11.805555555555555,1013.3,0.0,12.5,,21.5,25.3,25.3,50,226.0,Partly Cloudy,Partly cloudy
2025-01-01T09:00,26.5,27.5,73,6.694444444444445,3,13.194444444444445,1013.6,0.0,11.8,,21.2,26.5,26.5,64,462.0,Partly Cloudy,Partly cloudy
2025-01-01T10:00,27.6,28.4,68,7.111111111111112,13,14.0,1013.3,0.0,11.5,,21.1,29.691081049084566,27.6,70,586.0,Partly Cloudy,Partly cloudy
2025-01-01T11:00,28.7,30.3,62,6.805555555555555,21,14.194444444444445,1012.9,0.0,5,,20.7,30.822027395357768,28.7,100,749.0,Cloudy,Overcast
2025-01-01T12:00,29.4,31.2,59,6.777777777777777,30,13.61111111111111,1011.9,0.0,5,,20.6,31.557488575164573,29.4,100,815.0,Cloudy,Overcast
2025-01-01T13:00,29.8,31.2,56,7.055555555555555,38,14.11111111111111,1010.6,0.0,13.35,,20.2,31.727523914951135,29.8,33,798.0,Partly Cloudy,Mainly clear
2025-01-01T14:00,30.1,30.8,54,7.166666666666667,46,14.5,1009.6,0.0,13.5,,19.8,31.87620325666449,30.1,30,724.0,Partly Cloudy,Mainly clear
2025-01-01T15:00,29.7,29.9,56,6.944444444444445,47,14.11111111111111,1009.1,0.0,5,,19.9,31.560251439251186,29.7,100,572.0,Cloudy,Overcast
2025-01-01T16:00,29.1,29.3,57,6.583333333333333,47,13.38888888888889,1009.0,0.0,5,,19.6,30.745002439831094,29.1,93,408.0,Cloudy,Overcast
2025-01-01T17:00,28.0,27.5,55,6.694444444444445,49,12.305555555555554,1009.6,0.0,5,,18.3,28.92243437955555,28.0,87,191.0,Cloudy,Overcast
2025-01-01T18:00,27.8,28.2,61,6.333333333333333,48,11.38888888888889,1010.6,0.0,5,,19.7,29.262630969795584,27.8,100,21.0,Cloudy,Overcast
2025-01-01T19:00,27.3,28.1,66,6.472222222222222,47,11.694444444444445,1011.4,0.0,5,,20.5,28.994164419651156,27.3,100,0.0,Cloudy,Overcast
2025-01-01T20:00,27.1,28.3,70,6.111111111111111,47,11.694444444444445,1012.3,0.0,5,,21.1,29.025396902415594,27.1,100,0.0,Cloudy,Overcast
2025-01-01T21:00,26.7,28.0,73,6.333333333333333,41,11.305555555555555,1013.0,0.0,5,,21.5,28.570837662515455,26.7,100,0.0,Cloudy,Overcast
2025-01-01T22:00,26.1,27.8,77,5.916666666666667,35,11.5,1013.1,0.0,5,,21.8,26.1,26.1,84,0.0,Cloudy,Overcast
2025-01-01T23:00,25.7,27.6,80,5.5,37,10.611111111111112,1013.1,0.0,5,,21.9,25.7,25.7,99,0.0,Cloudy,Overcast
2025-01-02T00:00,25.4,27.2,81,5.805555555555555,24,10.388888888888888,1012.2,0.0,5,,21.8,25.4,25.4,100,0.0,Cloudy,Overcast
2025-01-02T01:00,25.1,26.9,81,5.583333333333334,18,10.499999999999998,1011.3,0.0,11.2,,21.6,25.1,25.1,76,0.0,Partly Cloudy,Partly cloudy
2025-01-02T02:00,24.6,26.3,82,5.5,13,10.11111111111111,1010.7,0.0,14.600000000000001,,21.4,24.6,24.6,8,0.0,Sunny,Clear skies
2025-01-02T03:00,24.2,26.0,84,5.166666666666667,9,9.805555555555555,1010.5,0.0,12.6,,21.2,24.2,24.2,48,0.0,Partly Cloudy,Mainly clear
2025-01-02T04:00,23.9,25.6,84,5.027777777777778,5,9.194444444444445,1010.7,0.0,5,,20.9,23.9,23.9,89,0.0,Cloudy,Overcast
2025-01-02T05:00,23.6,25.2,84,4.916666666666666,4,8.88888888888889,1011.1,0.0,5,,20.7,23.6,23.6,81,0.0,Cloudy,Overcast
2025-01-02T06:00,23.8,25.5,85,5.194444444444444,1,9.694444444444445,1012.0,0.0,14.600000000000001,,21.1,23.8,23.8,8,0.0,Sunny,Clear skies
2025-01-02T07:00,23.8,25.8,86,4.916666666666666,351,9.305555555555555,1013.2,0.0,11.65,,21.3,23.8,23.8,67,54.0,Partly Cloudy,Partly cloudy
2025-01-02T08:00,24.9,27.2,83,5.027777777777778,349,9.88888888888889,1013.9,0.0,13.8,,21.9,24.9,24.9,24,251.0,Partly Cloudy,Mainly clear
2025-01-02T09:00,26.5,28.3,76,5.916666666666667,8,11.38888888888889,1014.1,0.0,14.3,,21.9,26.5,26.5,14,474.0,Sunny,Clear skies
2025-01-02T10:00,27.7,29.4,68,6.416666666666667,16,13.11111111111111,1013.5,0.0,14.75,,21.2,29.86612564650446,27.7,5,656.0,Sunny,Clear skies
2025-01-02T11:00,28.0,29.8,67,6.888888888888889,38,14.0,1013.0,0.1,9.8,,21.2,30.278777123555578,28.0,54,764.0,Light Rain,Light drizzle
2025-01-02T12:00,27.8,29.3,69,6.722222222222221,42,13.694444444444443,1012.3,0.3,9.4,,21.5,30.1629650678577,27.8,59,646.0,Light Rain,Light drizzle
2025-01-02T13:00,27.8,29.6,70,6.611111111111111,47,13.194444444444445,1011.3,0.4,9.2,,21.8,30.28427865619561,27.8,56,637.0,Light Rain,Light drizzle
2025-01-02T14:00,28.1,30.0,68,6.694444444444445,54,13.5,1010.5,0.4,9.2,,21.8,30.590609338984464,28.1,37,673.0,Light Rain,Light drizzle
2025-01-02T15:00,28.5,29.2,64,7.194444444444444,62,14.0,1009.9,0.0,5,,21.1,30.76289075505561,28.5,100,561.0,Cloudy,Overcast
