recorded_at,temperature,feels_like,humidity,wind_speed,wind_direction,wind_gust,pressure,precipitation,visibility,uv_index,dew_point,heat_index,wind_chill,cloud_cover,solar_radiation,weather_condition,weather_description
2022-01-01T00:00,24.7,27.1,86,5.138888888888888,21,9.194444444444445,1014.7,0.2,9.6,,22.2,24.7,24.7,100,0.0,Light Rain,Light drizzle
2022-01-01T01:00,24.4,26.7,88,5.166666666666667,9,8.61111111111111,1013.8,0.2,9.6,,22.2,24.4,24.4,100,0.0,Light Rain,Light drizzle
2022-01-01T02:00,24.0,26.3,89,4.916666666666666,12,8.61111111111111,1013.4,0.4,9.2,,22.0,24.0,24.0,100,0.0,Light Rain,Light drizzle
2022-01-01T03:00,23.9,26.0,90,5.527777777777778,6,9.0,1013.0,0.5,9.0,,22.2,23.9,23.9,100,0.0,Light Rain,Moderate drizzle
2022-01-01T04:00,23.9,26.0,89,5.555555555555555,7,9.388888888888888,1013.0,0.2,9.6,,22.1,23.9,23.9,100,0.0,Light Rain,Light drizzle
2022-01-01T05:00,24.0,26.0,89,5.666666666666666,9,9.194444444444445,1013.4,0.3,9.4,,22.1,24.0,24.0,100,0.0,Light Rain,Light drizzle
2022-01-01T06:00,24.1,25.8,87,5.916666666666667,6,9.88888888888889,1013.9,0.2,9.6,,21.8,24.1,24.1,100,0.0,Light Rain,Light drizzle
2022-01-01T07:00,24.4,26.3,86,5.611111111111111,3,9.88888888888889,1014.9,0.0,5,,21.8,24.4,24.4,100,27.0,Cloudy,Overcast
2022-01-01T08:00,25.2,26.9,82,6.0,11,10.305555555555555,1015.8,0.2,9.6,,21.9,25.2,25.2,100,148.0,Light Rain,Light drizzle
2022-01-01T09:00,25.8,27.4,79,6.277777777777778,25,11.11111111111111,1016.2,0.1,9.8,,21.9,25.8,25.8,97,212.0,Light Rain,Light drizzle
2022-01-01T10:00,26.6,28.4,76,6.027777777777778,36,11.305555555555555,1016.0,0.1,9.8,,22.0,26.6,26.6,38,362.0,Light Rain,Light drizzle
2022-01-01T11:00,27.7,29.6,71,6.305555555555555,46,11.888888888888888,1015.4,0.0,14.0,,22.0,30.215114208417713,27.7,20,615.0,Partly Cloudy,Mainly clear
2022-01-01T12:00,28.3,31.1,69,6.25,50,11.805555555555555,1014.3,0.1,9.8,,22.1,31.11170863945783,28.3,18,766.0,Light Rain,Light drizzle
2022-01-01T13:00,27.8,31.0,74,5.916666666666667,53,12.0,1013.2,0.1,9.8,,22.7,30.789025956391143,27.8,56,764.0,Light Rain,Light drizzle
2022-01-01T14:00,28.2,31.4,73,5.361111111111112,57,11.194444444444443,1012.2,0.0,5,,22.8,31.497615662915607,28.2,86,674.0,Cloudy,Overcast
2022-01-01T15:00,27.4,29.7,77,6.166666666666666,63,11.5,1011.5,0.4,9.2,,23.1,30.303762154364392,27.4,26,540.0,Light Rain,Light drizzle
2022-01-01T16:00,27.2,29.1,79,6.944444444444445,63,12.11111111111111,1011.9,0.0,12.1,,23.1,30.084231424035547,27.2,58,371.0,Partly Cloudy,Partly cloudy
2022-01-01T17:00,26.4,27.8,76,6.499999999999999,43,12.305555555555554,1012.3,0.0,12.35,,21.8,26.4,26.4,53,167.0,Partly Cloudy,Partly cloudy
2022-01-01T18:00,26.0,27.6,77,6.055555555555555,39,11.0,1013.0,0.0,11.4,,21.7,26.0,26.0,72,19.0,Partly Cloudy,Partly cloudy
2022-01-01T19:00,25.7,27.3,80,6.222222222222221,30,10.388888888888888,1014.2,0.0,5,,22.0,25.7,25.7,100,0.0,Cloudy,Overcast
2022-01-01T20:00,25.1,27.0,84,5.777777777777778,18,10.388888888888888,1015.0,0.0,5,,22.1,25.1,25.1,100,0.0,Cloudy,Overcast
2022-01-01T21:00,25.0,26.7,83,6.138888888888889,16,10.194444444444445,1015.4,0.0,5,,22.0,25.0,25.0,100,0.0,Cloudy,Overcast
2022-01-01T22:00,24.7,26.6,85,5.722222222222222,12,10.194444444444445,1015.4,0.0,5,,22.0,24.7,24.7,99,0.0,Cloudy,Overcast
2022-01-01T23:00,24.6,26.1,85,6.305555555555555,15,10.499999999999998,1015.2,0.1,9.8,,21.9,24.6,24.6,100,0.0,Light Rain,Light drizzle
2022-01-02T00:00,24.2,26.0,87,6.0,11,10.611111111111112,1014.7,0.1,9.8,,22.0,24.2,24.2,98,0.0,Light Rain,Light drizzle
2022-01-02T01:00,24.1,25.8,87,6.138888888888889,7,10.194444444444445,1014.1,0.1,9.8,,21.9,24.1,24.1,98,0.0,Light Rain,Light drizzle
2022-01-02T02:00,24.0,25.7,88,5.805555555555555,2,10.694444444444445,1013.2,0.0,5,,21.8,24.0,24.0,100,0.0,Cloudy,Overcast
2022-01-02T03:00,23.8,25.5,88,5.777777777777778,9,9.694444444444445,1012.7,0.0,5,,21.7,23.8,23.8,100,0.0,Cloudy,Overcast
