recorded_at,temperature,feels_like,humidity,wind_speed,wind_direction,wind_gust,pressure,precipitation,visibility,uv_index,dew_point,heat_index,wind_chill,cloud_cover,solar_radiation,weather_condition,weather_description
2018-01-01T00:00,23.6,27.6,93,2.305555555555556,304,3.8055555555555554,1010.9,0.0,14.0,,22.4,23.6,23.6,20,0.0,Partly Cloudy,Mainly clear
2018-01-01T01:00,23.3,27.1,93,2.055555555555556,309,4.0,1010.1,0.0,13.95,,22.0,23.3,23.3,21,0.0,Partly Cloudy,Mainly clear
2018-01-01T02:00,23.2,27.1,93,1.972222222222222,330,3.611111111111111,1009.5,0.0,13.8,,22.0,23.2,23.2,24,0.0,Partly Cloudy,Mainly clear
2018-01-01T03:00,23.3,26.8,90,2.4166666666666665,343,4.305555555555555,1009.1,0.0,13.4,,21.6,23.3,23.3,32,0.0,Partly Cloudy,Mainly clear
2018-01-01T04:00,23.5,26.8,88,2.5277777777777777,351,4.388888888888889,1009.1,0.0,13.65,,21.4,23.5,23.5,27,0.0,Partly Cloudy,Mainly clear
2018-01-01T05:00,23.3,26.4,88,2.833333333333333,352,4.5,1008.9,0.0,14.25,,21.3,23.3,23.3,15,0.0,Sunny,Clear skies
2018-01-01T06:00,23.1,26.2,90,2.7222222222222223,352,4.888888888888889,1009.1,0.0,14.2,,21.3,23.1,23.1,16,0.0,Sunny,Clear skies
2018-01-01T07:00,24.0,27.0,86,3.194444444444444,356,5.694444444444445,1010.1,0.0,13.3,,21.5,24.0,24.0,34,56.0,Partly Cloudy,Mainly clear
2018-01-01T08:00,25.2,28.0,79,3.3611111111111107,10,6.694444444444445,1011.3,0.0,14.2,,21.4,25.2,25.2,16,249.0,Sunny,Clear skies
2018-01-01T09:00,26.4,29.3,74,3.083333333333333,25,6.888888888888889,1011.7,0.0,14.0,,21.4,26.4,26.4,20,473.0,Partly Cloudy,Mainly clear
2018-01-01T10:00,27.2,30.9,70,2.833333333333333,39,6.888888888888889,1011.3,0.0,14.95,,21.3,29.197739472195558,27.2,1,662.0,Sunny,Clear skies
2018-01-01T11:00,27.8,32.4,68,2.611111111111111,58,6.694444444444445,1010.8,0.0,14.8,,21.4,30.043600774204478,27.8,4,792.0,Sunny,Clear skies
2018-01-01T12:00,27.6,31.2,68,3.8055555555555554,95,8.0,1009.8,0.0,12.8,,21.2,29.691081049084566,27.6,44,760.0,Partly Cloudy,Mainly clear
2018-01-01T13:00,27.9,30.8,63,4.083333333333333,115,8.5,1008.7,0.0,13.75,,20.2,29.632936432684573,27.9,25,758.0,Partly Cloudy,Mainly clear
2018-01-01T14:00,27.7,30.9,71,4.444444444444445,121,9.11111111111111,1007.5,0.0,12.7,,21.9,30.215114208417713,27.7,46,686.0,Partly Cloudy,Mainly clear
2018-01-01T15:00,27.5,30.2,72,4.194444444444445,115,9.11111111111111,1006.6,0.0,11.5,,21.9,29.947589581944598,27.5,70,555.0,Partly Cloudy,Partly cloudy
2018-01-01T16:00,27.1,30.2,74,3.5277777777777777,119,8.38888888888889,1006.5,0.0,13.55,,22.1,29.38606623333116,27.1,29,365.0,Partly Cloudy,Mainly clear
2018-01-01T17:00,26.4,29.8,79,3.4722222222222223,108,6.805555555555555,1006.7,0.0,13.95,,22.4,26.4,26.4,21,163.0,Partly Cloudy,Mainly clear
2018-01-01T18:00,25.8,30.0,83,2.055555555555556,119,6.111111111111111,1007.0,0.0,14.55,,22.6,25.8,25.8,9,21.0,Sunny,Clear skies
2018-01-01T19:00,25.0,29.8,89,1.3611111111111112,144,3.6944444444444446,1008.1,0.0,14.65,,23.0,25.0,25.0,7,0.0,Sunny,Clear skies
2018-01-01T20:00,24.6,29.6,92,1.3055555555555556,180,2.305555555555556,1009.4,0.0,14.9,,23.3,24.6,24.6,2,0.0,Sunny,Clear skies
2018-01-01T21:00,24.5,29.5,94,1.4166666666666665,176,2.305555555555556,1010.2,0.0,14.7,,23.4,24.5,24.5,6,0.0,Sunny,Clear skies
2018-01-01T22:00,24.6,29.7,94,1.5,188,2.694444444444444,1010.5,0.0,14.55,,23.6,24.6,24.6,9,0.0,Sunny,Clear skies
2018-01-01T23:00,24.5,29.4,95,1.6666666666666665,213,2.888888888888889,1010.1,0.0,14.45,,23.6,24.5,24.5,11,0.0,Sunny,Clear skies
2018-01-02T00:00,24.1,29.0,96,1.5555555555555554,230,3.0,1009.7,0.0,14.4,,23.4,24.1,24.1,12,0.0,Sunny,Clear skies
2018-01-02T01:00,23.8,28.6,96,1.3611111111111112,253,2.8055555555555554,1009.0,0.0,14.4,,23.0,23.8,23.8,12,0.0,Sunny,Clear skies
2018-01-02T02:00,23.3,28.1,96,1.1111111111111112,265,2.5,1008.4,0.0,14.45,,22.7,23.3,23.3,11,0.0,Sunny,Clear skies
2018-01-02T03:00,22.7,27.1,98,1.3333333333333333,283,2.0,1008.0,0.0,14.45,,22.3,22.7,22.7,11,0.0,Sunny,Clear skies
2018-01-02T04:00,22.6,27.3,98,0.7777777777777777,320,1.8888888888888888,1008.1,0.0,14.25,,22.3,22.6,22.6,15,0.0,Sunny,Clear skies
2018-01-02T05:00,23.3,28.1,97,1.0555555555555556,311,2.0,1008.1,0.0,14.25,,22.8,23.3,23.3,15,0.0,Sunny,Clear skies
2018-01-02T06:00,23.2,27.9,97,1.2222222222222223,325,2.305555555555556,1008.6,0.0,13.15,,22.7,23.2,23.2,37,0.0,Partly Cloudy,Mainly clear
2018-01-02T07:00,24.2,28.6,92,1.8611111111111112,344,3.888888888888889,1009.6,0.0,12.4,,22.8,24.2,24.2,52,48.0,Partly Cloudy,Partly cloudy
2018-01-02T08:00,25.7,30.1,84,1.8611111111111112,16,4.611111111111112,1010.8,0.0,12.2,,22.8,25.7,25.7,56,217.0,Partly Cloudy,Partly cloudy
2018-01-02T09:00,26.6,31.0,79,1.8611111111111112,54,4.888888888888889,1011.2,0.0,12.55,,22.7,26.6,26.6,49,411.0,Partly Cloudy,Mainly clear
2018-01-02T10:00,27.2,31.4,78,2.4722222222222223,69,6.0,1011.4,0.0,11.25,,23.0,29.98047169953779,27.2,75,549.0,Partly Cloudy,Partly cloudy
2018-01-02T11:00,27.4,31.7,75,2.972222222222222,76,7.0,1010.8,0.0,11.0,,22.5,30.08074379767107,27.4,80,680.0,Cloudy,Overcast
2018-01-02T12:00,27.4,31.9,74,3.0,86,7.305555555555555,1010.0,0.0,5,,22.4,29.971525281031088,27.4,85,705.0,Cloudy,Overcast
2018-01-02T13:00,27.7,32.2,72,2.888888888888889,92,7.111111111111112,1008.8,0.0,5,,22.3,30.33513165482441,27.7,88,714.0,Cloudy,Overcast
2018-01-02T14:00,27.7,31.3,70,3.3611111111111107,107,7.388888888888889,1007.8,0.0,5,,21.7,30.096940724895553,27.7,89,666.0,Cloudy,Overcast
